"","eu_rnpa","economic_unit","vessel_rnpa","vessel_name","owner_rnpa","owner_name","hull_identifier","home_port","construction_year","hull_material","preservation_system","gear_type","detection_gear","vessel_type","vessel_length_m","vessel_beam_m","vessel_height_m","vessel_draft_m","vessel_gross_tonnage","captain_num","engineer_num","s_fisher_num","engine_power_hp","engine_power_bin_hp","design_speed_kt"
"1839","3105004364","SCPP LANGOSTEROS DE PROGRESO SC DE RL","00077107","LANGOSTEROSDEPROGRESO5","3105004364","SCPP LANGOSTEROS DE PROGRESO SC DE RL","31010456236","PROGRESO","1978","FIBRA DE VIDRIO","HIELO","PALANGRE","VIDEOSONDA","COMERCIAL","14","4.9","1.6","1.2","22","1","1","1",290,275,10.7395081648702
"1840","2604611026","MOON INDUSTRIAL SA DE CV","00059407","MOON103","2604611026","MOON INDUSTRIAL SA DE CV","2602520123-6","GUAYMAS","1965","ACERO","REFRIGERACIÓN","CERCO","VIDEOSONDA","COMERCIAL","22.86","6.59","3.4","2.2","120","1","1","1",450,450,10.8801545575481
"1841","2604011789","MARIA NATIVIDAD INZUNZA FLORES","00023150","LIBERACION5","2604011789","MARIA NATIVIDAD INZUNZA FLORES","26020531236","GUAYMAS","1975","ACERO","HIELO | REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.61","5.72","3.43","3","18","1","1","0",465,450,10.8932841050025
"1842","2604011409","GEOMAR PESQUERA SA DE CV","00011700","GEOMAR7","2604011409","GEOMAR PESQUERA SA DE CV","2602064123-9","GUAYMAS","1970","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","21.99","6.07","3.54","3","18","1","1","1",365,365,10.8055722873817
"1843","2604010641","PESQUERA EL MORROÑO, S.A. DE C.V.","00019901","PADREEUSEBIOKINO","2604010641","PESQUERA EL MORROÑO, S.A. DE C.V.","26020516234","GUAYMAS","1975","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.84","6.3","3.1","3","20","1","1","0",365,365,10.8055722873817
"1844","2604009171","PESQUERA SON MAR DEL PACIFICO SA DE CV","00049304","ADOLFORUIZCORTINEZ4","2604009171","PESQUERA SON MAR DEL PACIFICO SA DE CV","26020447237","GUAYMAS","1987","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","23.7","6.27","3.3","3","30","1","1","0",500,500,10.9238823478233
"1845","2604009452","PESQUERA SIGLO SA DE CV","00050435","CHUYITO30","2604009452","PESQUERA SIGLO SA DE CV","26020002232","GUAYMAS","1969","ACERO","REFRIGERACIÓN","CERCO","SONAR | VIDEOSONDA","COMERCIAL","28.87","7.31","3.51","0","229.6","1","1","0",860,850,11.2355707218377
"1846","2604004727","PESQUERA SANTA MONICA SA DE CV","00059963","PEGUSA1","2604004727","PESQUERA SANTA MONICA SA DE CV","26025457235","GUAYMAS","2013","ACERO","REFRIGERACIÓN","CERCO","SONAR | VIDEOSONDA","COMERCIAL","26.86","8.3","4.4","4","214","1","1","1",850,850,11.2269874472606
"1847","2604611638","SARDISON,  S.A. DE C.V.","00059915","PORTOLA4","2604611638","SARDISON,  S.A. DE C.V.","26025278238","GUAYMAS","2013","ACERO","REFRIGERACIÓN","CERCO","VIDEOSONDA","COMERCIAL","32.91","8.3","4","0","180","1","1","1",850,850,11.2269874472606
"1848","2604011409","GEOMAR PESQUERA SA DE CV","00021451","GEOMAR6","2604011409","GEOMAR PESQUERA SA DE CV","2602008623-6","GUAYMAS","1973","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","20.94","6.04","3.1","3","18","1","1","1",365,365,10.8055722873817
"1849","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","00041772","ISMAR2","2604006110","INVERSIONES BACOCHIBAMPO, S.A. DE C.V.","26024428236","GUAYMAS","1984","ACERO","REFRIGERACIÓN","ARRASTRE","VIDEOSONDA","COMERCIAL","19.28","7.31","3.8","3","78.21","1","1","1",520,500,10.9413435696085
"1850","3105008597","MELKART MELQUISEDEC SC DE RL DE CV","00100206","MELQUISEDEC2","3105008597","MELKART MELQUISEDEC SC DE RL DE CV","3101516423-5","PROGRESO","1979","FIBRA DE VIDRIO","HIELO","PALANGRE","LORAN","COMERCIAL","14.23","3.5","2.32","0","11","1","1","0",180,175,10.6421795831547
"1851","2808007906","MARIA FERNANDA RUIZ ZORRILLA","00064493","DONRAUL2","2808007906","MARIA FERNANDA RUIZ ZORRILLA","28040152238","TAMPICO","1977","ACERO","REFRIGERACIÓN | SALMUERA","ARRASTRE","ECOSONDA | VIDEOSONDA","COMERCIAL","23.5","6.65","3.45","3","20","1","1","2",402,402,10.8380754339523
